Date,value
2023-03-20T08:06:15.742Z,'Temperature = 32.60  Humidity = 58.00 Moisture =99.65
2023-03-20T08:06:16.458Z,'Temperature = 32.60  Humidity = 58.00 Moisture =99.59
2023-03-20T08:06:17.174Z,'Temperature = 32.60  Humidity = 58.00 Moisture =99.60
2023-03-20T08:06:17.994Z,'Temperature = 32.60  Humidity = 58.00 Moisture =99.59
2023-03-20T08:06:18.708Z,'Temperature = 32.50  Humidity = 56.00 Moisture =99.57
2023-03-20T08:06:19.43Z,'Temperature = 32.50  Humidity = 56.00 Moisture =99.55
2023-03-20T08:06:20.145Z,'Temperature = 32.50  Humidity = 56.00 Moisture =99.54
2023-03-20T08:06:20.861Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.53
2023-03-20T08:06:21.578Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.52
2023-03-20T08:06:22.293Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.51
2023-03-20T08:06:23.013Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.50
2023-03-20T08:06:23.729Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.49
2023-03-20T08:06:24.446Z,'Temperature = 32.40  Humidity = 56.00 Moisture =99.47
2023-03-20T08:06:25.161Z,'Temperature = 32.30  Humidity = 56.00 Moisture =99.47
2023-03-20T08:06:25.878Z,'Temperature = 32.30  Humidity = 56.00 Moisture =99.46
2023-03-20T08:06:27.208Z,'Temperature = 32.30  Humidity = 57.00 Moisture =99.46
2023-03-20T08:06:29.256Z,'Temperature = 32.30  Humidity = 58.00 Moisture =99.46
2023-03-20T08:06:31.612Z,'Temperature = 32.30  Humidity = 58.00 Moisture =99.45
2023-03-20T08:06:32.432Z,'Temperature = 32.30  Humidity = 58.00 Moisture =99.00
2023-03-20T08:06:33.351Z,'Temperature = 32.20  Humidity = 57.00 Moisture =99.00
2023-03-20T08:06:39.397Z,'Temperature = 32.10  Humidity = 57.00 Moisture =99.00
2023-03-20T08:06:47.486Z,'Temperature = 32.00  Humidity = 57.00 Moisture =99.00
2023-03-20T08:06:57.635Z,'Temperature = 32.00  Humidity = 58.00 Moisture =99.00
2023-03-20T08:06:59.57Z,'Temperature = 31.90  Humidity = 57.00 Moisture =99.00
2023-03-20T08:10:43.633Z,'Temperature = 32.00  Humidity = 57.00 Moisture =99.00
2023-03-20T08:12:58.177Z,'Temperature = 31.90  Humidity = 57.00 Moisture =99.00
2023-03-20T08:13:00.224Z,'Temperature = 32.00  Humidity = 57.00 Moisture =99.00
2023-03-20T08:13:04.271Z,'Temperature = 31.90  Humidity = 57.00 Moisture =99.00
2023-03-20T08:13:28.49Z,'Temperature = 31.90  Humidity = 58.00 Moisture =99.00
2023-03-20T08:13:44.577Z,'Temperature = 33.00  Humidity = 81.00 Moisture =99.00
2023-03-20T08:13:46.512Z,'Temperature = 35.80  Humidity = 81.00 Moisture =99.00
2023-03-20T08:13:47.227Z,'Temperature = 35.80  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:48.56Z,'Temperature = 35.60  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:50.608Z,'Temperature = 35.10  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:52.655Z,'Temperature = 34.80  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:54.649Z,'Temperature = 34.60  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:56.698Z,'Temperature = 34.30  Humidity = 89.00 Moisture =99.00
2023-03-20T08:13:57.414Z,'Temperature = 34.30  Humidity = 88.00 Moisture =99.00
